	sample_id	synthesis_type	target_plug_aspect	specifier	solver	plug_aspect	stomatal_aspect	resistance	stomatal_flux_grad	bottom_flux_grad	mesophyll_flux_grad	mesophyll_flux_sol	curved_flux_grad	top_flux_grad	total_flux_grad	substomatal_mean	top_mean	mesophyll_mean	mesophyll_var	airspace_mean	airspace_var	transport	plug_area	curved_area	mesophyll_area	stomatal_area	stomatal_area_fraction	mesophyll_area_fraction	porosity	assimilation_substomatal	assimilation_mesophyll_mean
56	00003	mixed	0,25	3	diffusion	0,23433614605202668	0,04	1,858965716093187	0,028787916193918052	0,007505406284596504	6,506103433150512e-05	0,0	0,0003326934538073807	-0,03691562484894483	-0,00022454788229236974	0,8000000000001442	0,40000000000007135	0,5089827993259409	0,0035968007147083084	0,5140234544239692	0,004410078196542212	0,0	0,1715622024558342	1,470821226705856	0,4217583810151834	0,004997986884610705	0,029132214515008647	2,45834091063128	0,9675730863171477	0,0	0,0
57	00003	mixed	0,25	3	photoactive	0,23433614605202668	0,04	1,2026970887803747	0,008339981351228595	0,002172862528715224	-0,010284063198713604	0,010720056140711512	1,0786750527216732e-05	-2,9059884181167126e-06	0,00023666144333933	0,800000000000164	0,7159442640077144	0,7248495290488775	9,660917690776158e-05	0,7271792077799056	0,00011163880963486171	0,31242476452469187	0,1715622024558342	1,470821226705856	0,4217583810151834	0,004997986884610705	0,029132214515008647	2,45834091063128	0,9675730863171477	0,012009354171911872	0,01072005614071174
58	00003	mixed	0,25	4	diffusion	0,23433614605202668	0,05	1,652404528403765	0,03363978944209393	0,007586737356873655	8,602527250335829e-05	0,0	0,0004175058029784886	-0,0415303152483153	0,00019974262613352276	0,8000000000002176	0,4000000000001097	0,5226103215267186	0,004550390923291447	0,528298926451715	0,005577406370024158	0,0	0,17156220245583403	1,4708281169937043	0,4217583810151838	0,007824718974249134	0,04560864142708522	2,4583409106312843	0,9675633263954343	0,0	0,0
59	00003	mixed	0,25	4	photoactive	0,23433614605202668	0,05	0,9965666964389658	0,008824477803425634	0,0019902656108128592	-0,010479955420146422	0,010921003348981004	1,5732656625728147e-05	-3,2836564605726697e-06	0,000347236994257272	0,8000000000001177	0,7274917310485839	0,7365623192435148	0,00010013392614898485	0,7389393313141196	0,00011544843393916651	0,31828115962194153	0,17156220245583403	1,4708281169937043	0,4217583810151838	0,007824718974249134	0,04560864142708522	2,4583409106312843	0,9675633263954343	0,012009354171911197	0,010921003348980874
60	00058	mixed	0,2	0	diffusion	0,19511897058660613	0,0	1,1862644358440768	0,040219345540773846	0,0	0,00012487365403279115	0,0	-4,283370425491723e-05	-0,0401042867153391	0,00019709877521369688	0,7999999999997505	0,3999999999999965	0,6009914959591416	0,012214076308644779	0,5970034981608648	0,013984324636623507	0,0	0,11893572263832528	1,2248914957027426	1,1694055352146424	0,11958612940167068	1,0054685568718764	9,832248119185504	0,8925383686472027	0,0	0,0
61	00058	mixed	0,2	0	photoactive	0,19511897058660613	0,0	0,3996711600348082	0,008005120550941769	0,0	-0,007654334938015284	0,008005542152788427	-3,828671547297399e-05	-4,3617874835296937e-07	0,0003120627187051745	0,7999999999997072	0,76073147922495	0,7730982059218908	0,0001188074288418215	0,7733431601582539	0,00014307819891333788	0,3365491029604691	0,11893572263832528	1,2248914957027426	1,1694055352146424	0,11958612940167068	1,0054685568718764	9,832248119185504	0,8925383686472027	0,008325500584679575	0,008005542152787912
62	00058	mixed	0,2	1	diffusion	0,19511897058660613	0,02	2,4244590856974177	0,013404666812576288	0,005216965889215698	4,6958971762931686e-05	0,0	5,288845880850377e-05	-0,019622640504020086	-0,0009011603716557805	0,80000000000026	0,40000000000013025	0,4985503698479214	0,0029569290563180506	0,4964008334513218	0,0033734564279293893	0,0	0,11893572263832557	1,2247501630561368	1,1694055352146724	0,0012282216650363184	0,010326768424077655	9,832248119185731	0,8920558640474137	0,0	0,0
63	00058	mixed	0,2	1	photoactive	0,19511897058660613	0,02	1,6316661106227541	0,004875146962495701	0,0018972028798657301	-0,0068434699444957295	0,007157616549085545	4,212949924658792e-06	-3,500238285134756e-07	-6,72571760380008e-05	0,8000000000000461	0,6906771606345146	0,7018054450176887	9,756041504673713e-05	0,7019592120416284	0,00011735215661572708	0,3009027225089034	0,11893572263832557	1,2247501630561368	1,1694055352146724	0,0012282216650363184	0,010326768424077655	9,832248119185731	0,8920558640474137	0,008325500584683013	0,007157616549084911
64	00058	mixed	0,2	2	diffusion	0,19511897058660613	0,03	1,9526582586414842	0,018421060845464726	0,005759088251394268	3,2559795062509994e-05	0,0	6,0837560734639325e-05	-0,02436385826592943	-9,031181327284227e-05	0,8000000000001244	0,400000000000062	0,5223165425842006	0,00455438828013082	0,5196490554278257	0,0051929613140552396	0,0	0,11893572263832566	1,2247448219627963	1,1694055352146782	0,002799993272164428	0,02354207138152253	9,832248119185772	0,8920498048951132	0,0	0,0
65	00058	mixed	0,2	2	photoactive	0,19511897058660613	0,03	1,1619107496174244	0,005624696844042893	0,0017584458775835345	-0,007139210650475978	0,0074588489116588835	3,0016060898654984e-06	-8,195593557262188e-07	0,0002461141178843592	0,7999999999999012	0,7155380062910561	0,7271327693817051	0,00010586790678395087	0,7272937241150357	0,0001270409188206037	0,3135663846907032	0,11893572263832566	1,2247448219627963	1,1694055352146782	0,002799993272164428	0,02354207138152253	9,832248119185772	0,8920498048951132	0,008325500584681279	0,007458848911658775
