	sample_id	specifier	synthesis_type	plug_aspect	stomatal_aspect	porosity	surface_tortuosity_factor	surface_lateral	top_tortuosity_factor	top_lateral	assimilation_rate	resistance_t	resistance_m	pipe_resistance_t	pipe_resistance_m	inlet_resistance	calculated_resistance_t	calculated_resistance_m	standard_tomas	standard_earles	stomatal_area_fraction	mesophyll_area_fraction	plug_area
16	00101	1	mixed	0,23734910295164277	0,02	0,7756268594252831	1,1765922354119858	0,8969386324663453	1,1418674433022762	0,9795867267205877	0,11896184959697698	3,362422502297576	2,6417998241887415	1,458338465749594	0,740111191773505	1,9345355479843747	3,3928740137339686	2,67464673975788	0,7584782689731802	0,6803084613282451	0,006977910888766619	10,397318737296226	0,17601567068068596
17	00101	2	mixed	0,23734910295164277	0,03	0,7756268594253015	1,1765922354119858	0,8969386324663453	1,1418674433022762	0,9795867267205877	0,15002493371532588	2,666223474285647	1,9457350323167089	1,458338465749594	0,740111191773505	1,2303530895850059	2,6886915553346	1,970464281358511	0,7584782689731622	0,6803084613282289	0,015907636299292607	10,39731873729593	0,1760156706806865
18	00101	3	mixed	0,23734910295164277	0,04	0,775627278984464	1,1765922354119858	0,8969386324663453	1,1418674433022762	0,9795867267205877	0,17286174668426924	2,313987956691022	1,5934929296777387	1,458338465749594	0,740111191773505	0,8782618603853213	2,3366003261349153	1,6183730521588262	0,7584778586903937	0,6803080933297636	0,028395124509553765	10,397318737296038	0,17601567068068644
19	00101	4	mixed	0,23734910295164277	0,05	0,7755886088186199	1,1765922354119858	0,8969386324663453	1,1418674433022762	0,9795867267205877	0,19044087684090646	2,1003894050236873	1,3793864078557112	1,458338465749594	0,740111191773505	0,6670071228655107	2,1253455886151045	1,4071183146390158	0,7585156757292867	0,6803420128929122	0,04445467238223444	10,397318737296022	0,17601567068068588
20	00096	0	mixed	0,33252068317541394	0,33252068317541394	0,79653788966719	1,1833687509222695	0,8029988186219077	1,1702096519540004	0,9613010317992284	0,2849126714927669	1,4039389610342494	0,7034291562147806	1,4039389610342494	0,7034291562147806	0,0	1,4039389610342494	0,7034291562147806	0,7428201258679016	0,5964836835205017	1,0056295642594395	12,601219520544129	0,34545795720533873
21	00096	1	mixed	0,33252068317541394	0,02	0,7960061938306081	1,1833687509222695	0,8029988186219077	1,1702096519540004	0,9613010317992284	0,07523264717247823	5,316840693947632	4,612151064317964	1,4039389610342494	0,7034291562147806	3,89698466534759	5,30092362638184	4,600413821562371	0,7433162958365704	0,5968821074191785	0,0035553433910519784	12,601219520544	0,3454579572053385
22	00096	2	mixed	0,33252068317541394	0,03	0,7960061938307369	1,1833687509222695	0,8029988186219077	1,1702096519540004	0,9613010317992284	0,10128954041730602	3,9490750807225607	3,2445258742802525	1,4039389610342494	0,7034291562147806	2,51485960610454	3,918798567138789	3,2182887623193204	0,7433162958364502	0,596882107419082	0,008105163635006766	12,601219520544538	0,3454579572053373
23	00096	3	mixed	0,33252068317541394	0,04	0,7960061938306352	1,1833687509222695	0,8029988186219077	1,1702096519540004	0,9613010317992284	0,12317956469352184	3,2472918782847415	2,542704900525046	1,4039389610342494	0,7034291562147806	1,823797076483015	3,227736037517264	2,5272262326977954	0,7433162958365451	0,5968821074191581	0,014467713886352701	12,601219520543331	0,34545795720533856
24	00096	4	mixed	0,33252068317541394	0,05	0,7960061938305336	1,1833687509222695	0,8029988186219077	1,1702096519540004	0,9613010317992284	0,14173799571750637	2,8221084824521725	2,1176948560464153	1,4039389610342494	0,7034291562147806	1,4091595587100998	2,813098519744349	2,1125887149248803	0,74331629583664	0,5968821074192344	0,022650278596993343	12,601219520544797	0,34545795720533934
25	00038	0	mixed	0,23949021869140008	0,23949021869140008	0,8530346112653081	1,178167232536719	0,8915459407536205	1,1404216283408781	0,9793730698478413	0,31520218945925615	1,269026718013541	0,6352865026196038	1,269026718013541	0,6352865026196038	0,0	1,269026718013541	0,6352865026196038	0,6905741085869546	0,6156785433002493	1,0055507896404574	8,802650144649522	0,1791913689115164
