	species	PFT	L	porosity	An	Ca	Ci	Cistar	gs	tortuosity	mu_eff	mu_eff_err16	mu_eff_err84	gamma_eff	gamma_eff_err16	gamma_eff_err84
1101	Oryza sativa	C3 annual herbaceous	162,2288686605982	0,248	28,1	400,0	302,43055555555554	40,485	0,288	1,57	0,057347594259796825	0,0032248180371235655	0,0042623510346761345	0,14405935272067333	0,024117419546637403	0,0334046283301358
1102	Oryza sativa	C3 annual herbaceous	162,2288686605982	0,182	28,0	400,0	270,9677419354839	40,485	0,217	1,57	0,09191599817471788	0,004068080099965593	0,0046808915773236814	0,15083182620407118	0,02879622230598476	0,03137438433793585
1105	Oryza sativa	C3 annual herbaceous	247,61248374512357	0,188	30,8	400,0	298,34983498349834	40,485	0,303	1,57	0,13898576229898552	0,00842444629138861	0,00982905458174635	0,3086277113390167	0,053689801019494	0,06451603072576417
1107	Oryza sativa	C3 annual herbaceous	281,7659297789337	0,203	22,3	400,0	305,1063829787234	40,485	0,235	1,57	0,09974211697564392	0,00744684598960435	0,006910858651003243	0,2520179430635697	0,05223238696866758	0,050795607710919455
1126	Oryza sativa	C3 annual herbaceous	80,0	0,153	13,3	380,0	267,0	40,485	0,15	1,57	0,02196937824318438	0,0013726886605769685	0,0015625902657454005	0,060611953796473786	0,0111859873814983	0,01350051964066444
1127	Oryza sativa	C3 annual herbaceous	63,4	0,115	31,33	380,0	290,2	40,485	0,3488864142538975	1,57	0,05695711377832705	0,003689971324261916	0,003957266565740011	0,15083302989946676	0,02808570392961557	0,031720789950865
1134	Oryza sativa	C3 annual herbaceous	111,0	0,204	38,79	370,0	321,20754716981133	40,485	0,795	1,57	0,06222507845726319	0,005396673363507777	0,0050702782974091365	0,33854693477921605	0,06410620934273614	0,0651896571195068
1135	Oryza sativa	C3 annual herbaceous	123,0	0,22	37,4	370,0	314,0119760479042	40,485	0,668	1,57	0,06328341693426517	0,00511102517257319	0,005661092942636725	0,2918271005756393	0,053566931879161395	0,06425522196661115
1143	Oryza sativa	C3 annual herbaceous	43,0	0,26	17,3	350,0	290,0	40,485	0,33	1,57	0,008717351443433143	0,0006948986838349915	0,0006754772329474763	0,04236857461838378	0,00804520031648074	0,008525595844562875
1150	Oryza sativa	C3 annual herbaceous	109,0	0,226	32,85	370,0	327,3376623376623	40,485	0,77	1,57	0,04466283865192735	0,00409798359397355	0,003993202349475977	0,28615578118740725	0,05641885303094252	0,060092511333171617
1181	Paphiopedilum armeniacum	C3 perennial herbaceous	526,3	0,19	2,95	380,0	269,9	40,485	0,05	1,57	0,023101150920704697	0,002055351632930153	0,001791063881203446	0,10702338934431116	0,022487111748708946	0,02139775869645702
1183	Paphiopedilum dianthum	C3 perennial herbaceous	664,6	0,23	1,94	380,0	243,5	40,485	0,03	1,57	0,016117324380883744	0,0012718370991131288	0,0012247739662982135	0,0675574685555112	0,0131371955614017	0,013743136854538762
1186	Paphiopedilum micranthum	C3 perennial herbaceous	770,6	0,23	3,43	380,0	262,9	40,485	0,05	1,57	0,03396069998771607	0,0025849567549947536	0,0027751705110212327	0,12904510345597603	0,02451661646338618	0,02849039117498675
1223	Phillyrea latifolia	evergreen angiosperms	160,2	0,157	9,87	400,0	211,0	40,485	0,071	1,57	0,03669151511627468	0,0011655766934259432	0,0014616610701614907	0,055567657045261155	0,010301381415285027	0,011263201635080468
1239	Picea abies	evergreen gymnosperms	439,0	0,18	6,9	400,0	269,811320754717	40,485	0,053	1,57	0,06025054939847897	0,002446174665151145	0,003113162074512482	0,0990276188572309	0,018644960203950428	0,022219369569096092
1240	Picea abies	evergreen gymnosperms	439,0	0,18	6,9	400,0	269,811320754717	40,485	0,053	1,57	0,0605455995551447	0,00247515247921809	0,002956409927143952	0,10116766555864763	0,018626731464105428	0,02105804897672324
1255	Picea glauca	evergreen gymnosperms	528,0	0,172	7,6	400,0	245,0	40,485	0,056	1,57	0,08792957413192048	0,0030678745378076022	0,003976700884636697	0,13231797838925813	0,023277567315549294	0,02732519967930197
1265	Pinus halepensis	evergreen gymnosperms	424,7834850455137	0,187	5,29	400,0	250,0	40,485	0,03526666666666667	1,57	0,046689971221911895	0,001081062651149739	0,001619683010118722	0,06275577747481784	0,012137411663742832	0,013177746703608412
1266	Pinus halepensis	evergreen gymnosperms	379,1032509752926	0,188	6,57	400,0	250,0	40,485	0,0438	1,57	0,05170692774777744	0,0011665033280391368	0,0017544824185843563	0,06895608775480673	0,012754662917696273	0,01412426763173033
1272	Pinus nigra	evergreen gymnosperms	496,2495708712615	0,15	6,33	400,0	250,0	40,485	0,0422	1,57	0,08411256557461785	0,001959117821126191	0,003011179550963833	0,10769276043788378	0,0203309979247904	0,023214540287862684
1273	Pinus nigra	evergreen gymnosperms	528,6953446033812	0,216	6,54	400,0	250,0	40,485	0,0436	1,57	0,06304194636488843	0,0014350425576837647	0,00208582433208257	0,0824391971064945	0,015572961219926393	0,0166378230433534
1275	Pinus pinea	evergreen gymnosperms	498,81107932379723	0,167	4,97	400,0	250,0	40,485	0,033133333333333334	1,57	0,058166429502797434	0,0012096273788213888	0,002105870416496916	0,07625672473779754	0,013058881824030436	0,016846576822090856
1276	Pinus pinea	evergreen gymnosperms	549,8704811443433	0,216	7,02	400,0	250,0	40,485	0,046799999999999994	1,57	0,07098123244522131	0,0016078722770049708	0,0023339173363148974	0,09266206986946848	0,016608183328488055	0,01835528062448903
1283	Pinus sylvestris	evergreen gymnosperms	415,5	0,21	11,01	400,0	268,92857142857144	40,485	0,084	1,57	0,07980061048662013	0,003223455424184729	0,004278270637464512	0,12777207292816342	0,02381930430093704	0,029436279474921445
1284	Pinus sylvestris	evergreen gymnosperms	415,5	0,21	11,01	400,0	268,92857142857144	40,485	0,084	1,57	0,07987076677726468	0,0032271163009513493	0,003883854712593296	0,12826525684818396	0,023782739626651894	0,026734971708186117
